"Trong bối cảnh ESG, 'tính trọng yếu' (materiality) là gì?",Đó là cách thông tin nhất định được coi là quan trọng và có khả năng tác động đến quá trình ra quyết định của các bên liên quan.
Thông tin được coi là trọng yếu nếu nó có thể ảnh hưởng đến hành động của _____.,các cá nhân hoặc nhóm liên quan đến một vấn đề cụ thể
Ai là những bên liên quan mà thông tin trọng yếu có thể ảnh hưởng đến quyết định của họ?,"Nhà đầu tư, cơ quan quản lý, đối tác kinh doanh hoặc thậm chí là công chúng."
Tại sao thông tin trọng yếu lại quan trọng đối với các bên liên quan?,"Nó giúp họ đưa ra các quyết định sáng suốt có thể có những hệ quả về tài chính, pháp lý hoặc các hệ quả khác."
"Theo ví dụ được cung cấp, tại sao biến đổi khí hậu là một vấn đề trọng yếu đối với công ty Brambles?","Vì nó tác động đến rừng và thương mại toàn cầu, có thể làm gián đoạn mạng lưới vận tải, làm hỏng cơ sở hạ tầng và ảnh hưởng đến nguồn cung tài nguyên."
"Đối với một công ty logistics, tại sao quyền riêng tư và bảo mật dữ liệu có thể không phải là vấn đề trọng yếu hàng đầu?","Mặc dù quan trọng, nhưng nó không phải là ưu tiên cao nhất của họ so với các vấn đề khác như biến đổi khí hậu ảnh hưởng trực tiếp đến hoạt động cốt lõi."
MSEI phân bổ tầm quan trọng của quyền riêng tư và bảo mật dữ liệu cho các công ty logistics là bao nhiêu phần trăm?,Chỉ 0.3%.
"Đối với một tổ chức tài chính, MSEI phân bổ tầm quan trọng của bảo mật dữ liệu là bao nhiêu phần trăm?","Là 20.7%, cho thấy đây là một vấn đề trọng yếu cao."
Khái niệm về tính trọng yếu thay đổi tùy thuộc vào các yếu tố nào?,"Bản chất của quyết định được đưa ra, các bên liên quan cụ thể và tác động tiềm tàng của thông tin."
Hai yếu tố quan trọng cần thống nhất khi xác định ý nghĩa của tính trọng yếu là gì?,Các bên liên quan và sự ảnh hưởng.
Mục đích của việc thực hiện Đánh giá Tính trọng yếu (Materiality Assessment) khi phát triển một sáng kiến ESG là gì?,Để xác định các vấn đề ESG phù hợp nhất và ưu tiên chúng cho các hành động và chiến lược.
'Tính trọng yếu kép' (double materiality) có nghĩa là gì?,Nó có nghĩa là một tổ chức có tác động đến cả các bên liên quan (tác động ra bên ngoài) và hoạt động kinh doanh của chính nó (tác động vào bên trong).
"Khía cạnh đầu tiên của tính trọng yếu kép, 'Tính trọng yếu về tác động' (Impact Materiality), phản ánh điều gì?","Nó phản ánh những tác động quan trọng nhất của tổ chức đối với nền kinh tế, môi trường và xã hội."
Đối tượng chính của 'Tính trọng yếu về tác động' (Impact Materiality) là ai?,"Khách hàng, Cộng đồng, Nhân viên và Nhà đầu tư."
"Khía cạnh thứ hai của tính trọng yếu kép, 'Tính trọng yếu về tài chính' (Financial Materiality), tập trung vào điều gì?",Nó tập trung vào các vấn đề có khả năng tác động đến tình hình tài chính hoặc hiệu quả hoạt động của một công ty.
Đối tượng chính của 'Tính trọng yếu về tài chính' (Financial Materiality) là ai?,Nhà đầu tư và Ban lãnh đạo của công ty.
Ủy ban Chứng khoán và Giao dịch Hoa Kỳ (US SEC) và Ban Tiêu chuẩn Bền vững Quốc tế (ISSB) định nghĩa một vấn đề ESG trọng yếu là gì?,"Đó là một vấn đề ảnh hưởng, hoặc có khả năng ảnh hưởng đến dòng tiền và việc tạo ra giá trị tài chính của công ty."
"Theo Sáng kiến Báo cáo Toàn cầu (GRI), một vấn đề ESG được coi là trọng yếu dựa trên điều gì?","Nó được coi là trọng yếu dựa trên tác động của nó đối với môi trường, xã hội và nền kinh tế."
Nhóm Tư vấn Báo cáo Tài chính Châu Âu (EFRAG) nhấn mạnh điều gì khi định nghĩa tính trọng yếu?,Họ nhấn mạnh việc xem xét cả khía cạnh tài chính và tác động của các vấn đề ESG.
Ma trận Tính trọng yếu kép (Double Materiality Matrix) là gì?,Đó là một khuôn khổ được sử dụng trong báo cáo bền vững để phân tích và truyền đạt các tác động ESG của một tổ chức.
Tính trọng yếu kép trong ESG yêu cầu các công ty báo cáo về hai khía cạnh nào?,Cách hoạt động kinh doanh của họ bị ảnh hưởng bởi các vấn đề bền vững và cách hoạt động của họ tác động đến xã hội và môi trường.
Mục đích đầu tiên của Ma trận Tính trọng yếu kép là gì?,"Xác định danh sách rút gọn các ưu tiên ESG cho một công ty, dựa trên cả tính trọng yếu về tài chính và tác động."
Mục đích thứ hai của Ma trận Tính trọng yếu kép là gì?,"Hiểu rõ các lĩnh vực ESG nào cần dẫn dắt, theo dõi hoặc giám sát, dựa trên 'điểm mạnh' và 'điểm yếu' của công ty."
Tại sao một công ty cần phải truyền đạt đúng cách về các chủ đề trọng yếu của mình?,Để tránh các cáo buộc về 'tẩy xanh' (greenwashing) và đảm bảo tính minh bạch.
Việc đánh giá mức độ quan trọng của các tác động ESG giúp một công ty làm gì?,Nó giúp ưu tiên những tác động quan trọng nhất để thiết lập các sáng kiến cụ thể.
Trụ cột chính đầu tiên (Phần A) của Đánh giá Tính trọng yếu kép là gì?,Xác định và đánh giá các tác động một cách liên tục.
Ba bước trong việc xác định và đánh giá tác động (Phần A) của Đánh giá Tính trọng yếu kép là gì?,1. Hiểu bối cảnh của tổ chức. 2. Xác định các tác động thực tế và tiềm ẩn. 3. Đánh giá mức độ quan trọng của các tác động.
Trụ cột chính thứ hai (Phần B) của Đánh giá Tính trọng yếu kép là gì?,Xác định các chủ đề trọng yếu và điều chỉnh với các bên liên quan.
Ba bước trong việc xác định các chủ đề trọng yếu (Phần B) là gì?,4. Ưu tiên các tác động quan trọng nhất. 5. Xác thực kết quả với các bên liên quan. 6. Truyền đạt các chủ đề trọng yếu.
Bước đầu tiên trong việc thực hiện Đánh giá Tính trọng yếu ESG theo hướng dẫn từng bước là gì?,Xác định các bên liên quan phù hợp nhất trong chuỗi giá trị của bạn và các vấn đề quan trọng đối với họ.
Bước thứ hai trong quy trình Đánh giá Tính trọng yếu ESG là gì?,"Ưu tiên các vấn đề, ví dụ như đánh giá tầm quan trọng của chúng theo thang điểm 1-5."
Bước thứ ba trong quy trình Đánh giá Tính trọng yếu ESG là gì?,Xem xét hoạt động của công ty bạn so với các tiêu chuẩn ESG (ví dụ: SASB.org).
Bước thứ tư trong quy trình Đánh giá Tính trọng yếu ESG là gì?,Xây dựng Ma trận Tính trọng yếu ESG bằng cách sử dụng thông tin đã thu thập.
Câu hỏi đầu tiên cần trả lời khi phát triển một sáng kiến ESG là gì?,Mục đích của sáng kiến của bạn là gì và nó có thể góp phần vào việc củng cố ESG của tổ chức như thế nào?
Một sáng kiến ESG làm thế nào để 'điều chỉnh giá trị với các giá trị' (align value with values)?,"Bằng cách chứng minh rằng việc ưu tiên các yếu tố ESG vừa đúng về mặt đạo đức, vừa thông minh về mặt kinh doanh."
