"Theo tài liệu, thách thức chính trong việc tính toán tác động ESG là gì?","Khó khăn trong việc đo lường các tác động xã hội và môi trường, không giống như việc đo lường tác động tài chính một cách dễ dàng."
Hành vi nào mà nhiều doanh nghiệp vô tình hoặc cố ý mắc phải do gặp khó khăn trong việc truyền đạt các nỗ lực ESG của mình?,Tẩy xanh (greenwashing) hoặc che đậy thông tin xanh (green hushing).
Tại sao việc xác định giá trị cho các bên liên quan đa dạng lại là một thách thức trong ESG?,"Vì nó giống như một cuộc kéo co giữa các kỳ vọng khác nhau, và ý tưởng truyền thống về việc tối đa hóa lợi nhuận cho cổ đông đôi khi mâu thuẫn với các mục tiêu ESG."
Một giải pháp để tránh bị buộc tội tẩy xanh (greenwashing) là gì?,"Bắt đầu với một tầm nhìn rõ ràng và hấp dẫn cho các sáng kiến ESG, hài hòa với các giá trị và sứ mệnh của công ty."
Làm thế nào một công ty có thể dung hòa các kỳ vọng của các bên liên quan khác nhau trong việc thực hiện ESG?,"Bằng cách thu hút và trao quyền cho tất cả mọi người—nhân viên, khách hàng và nhà đầu tư—tham gia vào việc ra quyết định và thực thi ESG."
"Một rào cản cá nhân đối với việc áp dụng ESG là việc thiếu _____, khiến các cá nhân không nhận thức được tầm quan trọng hoặc không có đủ thông tin để hiểu các vấn đề ESG.",nhận thức hoặc kiến thức
Rào cản cá nhân nào đối với việc áp dụng ESG liên quan đến việc nghi ngờ chất lượng dữ liệu hoặc tính xác thực của các tuyên bố ESG từ các tổ chức?,Thiếu sự tin tưởng hoặc độ tin cậy.
Tại sao việc thiếu các ưu đãi hoặc sự liên kết lại là một rào cản cá nhân đối với việc áp dụng ESG?,"Bởi vì các cá nhân có thể không nhận thấy lợi ích cá nhân hoặc phải đối mặt với các áp lực mâu thuẫn, chẳng hạn như ưu tiên lợi nhuận tài chính."
"Việc thiếu _____ có thể ngăn cản các cá nhân áp dụng các tiêu chí ESG do các rào cản về khả năng chi trả, tính sẵn có hoặc sự tiện lợi của các lựa chọn ESG.",sự tiếp cận hoặc cơ hội
"Với vai trò là một nhân viên, cá nhân đóng góp vào ESG của tổ chức như thế nào?","Bằng cách điều chỉnh công việc của mình với tầm nhìn ESG của tổ chức, tham gia vào các sáng kiến và đưa ra phản hồi để cải thiện."
"Với vai trò là một khách hàng, cá nhân ảnh hưởng đến ESG như thế nào?",Bằng cách chọn các sản phẩm và dịch vụ phù hợp với kỳ vọng ESG của họ và hỗ trợ các công ty thể hiện vai trò lãnh đạo về ESG.
"Cá nhân, với vai trò là một nhà đầu tư, thúc đẩy ESG bằng cách nào?",Bằng cách kết hợp các tiêu chí ESG vào quyết định đầu tư và tương tác với các doanh nghiệp để giám sát và cải thiện hiệu suất ESG của họ.
"Với vai trò là một công dân, cá nhân định hình ESG như thế nào?","Bằng cách nhận thức về các tác động của hành động của mình, ủng hộ các chính sách thúc đẩy mục tiêu ESG và tham gia các phong trào vì sự nghiệp ESG."
ESG ảnh hưởng đến quy trình làm việc hàng ngày bằng cách yêu cầu _____ để đánh giá hiệu suất và tác động của công ty theo các tiêu chí ESG.,tiến hành các cuộc đánh giá và khảo sát
Một trong những cách ESG tác động đến quy trình làm việc là xác định và quản lý các rủi ro và cơ hội ESG bằng cách sử dụng ____.,những hiểu biết và phân tích dựa trên dữ liệu
Các cấu trúc tổ chức biệt lập (siloed) là gì?,"Các cấu trúc phân chia nhân viên thành các nhóm riêng lẻ dựa trên chức năng, chuyên môn hoặc địa lý của họ."
Một lợi thế của cấu trúc biệt lập trong bối cảnh ESG là gì?,Nó cung cấp sự tập trung và định hướng cho mỗi nhóm để phát triển năng lực chuyên môn và thúc đẩy hiệu suất hướng tới các mục tiêu ESG cụ thể.
Một nhược điểm của cấu trúc tổ chức biệt lập (siloed) đối với việc thực hiện ESG là gì?,"Nó cản trở sự hợp tác và giao tiếp giữa các nhóm, dẫn đến trùng lặp nỗ lực, kém hiệu quả hoặc xung đột."
